n [count],α [°],L [mm],H [mm],b [mm],d [mm],γ [N/mm3],Vroot [mm3],P0 [N],DR [ ],d50 [mm],φ [°],f
6,60,28.867513,90.0,25.0,5.0,1.6750322160000002e-05,4611.795378428525,2.9703067985499985,0.8,0.72,34.05,0.9429429429429428
3,75,25.881905,90.0,25.0,5.0,1.6750322160000002e-05,3099.036158305483,2.518163354979998,0.8,0.72,34.05,0.7957957957957958
6,75,25.881905,90.0,25.0,5.0,1.6750322160000002e-05,4440.154696707681,4.849493356155,0.8,0.72,34.05,1.0
F,90,50.0,60.0,50.0,5.0,1.6750322160000002e-05,40448.00541496859,10.992986863077332,0.8,0.72,34.05,1.0
F,90,25.0,90.0,25.0,5.0,1.6750322160000002e-05,11584.622910112363,4.0367406820290785,0.8,0.72,34.05,1.0
F,90,50.0,90.0,50.0,5.0,1.6750322160000002e-05,41037.05403751668,18.04070336448,0.8,0.72,34.05,1.0
F,90,12.5,120.0,12.5,5.0,1.6750322160000002e-05,4810.5637508093705,0.9089920088472234,0.8,0.72,34.05,1.0
F,90,25.0,120.0,25.0,5.0,1.6750322160000002e-05,12173.67153266045,6.575757138434168,0.8,0.72,34.05,1.0
F,90,37.5,150.0,37.5,5.0,1.6750322160000002e-05,25034.566458293662,18.47655778728125,0.8,0.72,34.05,1.0
3,30,62.5,112.5,31.25,6.25,1.6750322160000002e-05,7312.571928023205,2.6133006086249995,0.8,0.72,34.05,0.7237237237237237
6,30,62.5,112.5,31.25,6.25,1.6750322160000002e-05,12372.810226820813,2.028750718749999,0.8,0.72,34.05,0.8028028028028028
3,60,36.084392,112.5,31.25,6.25,1.6750322160000002e-05,6085.8830149056985,2.560337833969999,0.8,0.72,34.05,0.5915915915915916
6,60,36.084392,112.5,31.25,6.25,1.6750322160000002e-05,9007.412975046624,5.311445411054998,0.8,0.72,34.05,0.7607607607607607
3,30,75.0,135.0,37.5,7.5,1.6750322160000002e-05,12636.124291624099,1.7796294468049991,0.8,0.72,34.05,0.6356356356356356
6,30,75.0,135.0,37.5,7.5,1.6750322160000002e-05,21380.216071946365,6.040192282529999,0.8,0.72,34.05,0.7477477477477478
3,60,43.30127,135.0,37.5,7.5,1.6750322160000002e-05,10516.405805578399,5.9117026122350005,0.8,0.72,34.05,0.6216216216216216
6,60,43.30127,135.0,37.5,7.5,1.6750322160000002e-05,15564.809523687549,13.863728378619001,0.8,0.72,34.05,0.8198198198198198
6,60,43.30127,135.0,37.5,7.5,1.6750322160000002e-05,15564.809523687549,14.259988627163999,0.8,0.72,34.05,0.8188188188188188
3,30,87.5,157.5,43.75,8.75,1.6750322160000002e-05,20065.69737049568,6.709871935858,0.8,0.72,34.05,0.6306306306306306
6,30,87.5,157.5,43.75,8.75,1.6750322160000002e-05,33950.99126239631,16.836507923966494,0.8,0.72,34.05,0.7607607607607607
3,60,50.518149,157.5,43.75,8.75,1.6750322160000002e-05,16699.66302296726,12.8956911076245,0.8,0.72,34.05,0.5715715715715716
6,60,50.518149,157.5,43.75,8.75,1.6750322160000002e-05,24716.341269673198,4.8082985615,0.8,0.72,34.05,0.5445445445445446
3,30,100.0,180.0,50.0,10.0,1.6750322160000002e-05,29952.294617183048,13.237990656810501,0.8,0.72,34.05,0.5935935935935935
6,30,100.0,180.0,50.0,10.0,1.6750322160000002e-05,50679.03068905805,5.760664511594999,0.8,0.72,34.05,0.6666666666666666
3,60,57.735027,180.0,50.0,10.0,1.6750322160000002e-05,24927.77678978383,15.073036600167,0.8,0.72,34.05,0.3633633633633634
6,60,57.735027,180.0,50.0,10.0,1.6750322160000002e-05,36894.36345939719,7.275982185605001,0.8,0.72,34.05,0.5125125125125125
