α [°],H [mm],b [mm],Ls [mm],d [mm],γ [N/mm3],Pmax [N],Vroot [mm3],DR [ ]
60,135.0,37.5,113.34936,7.5,1.6750322160000002e-05,42.361496708824994,15564.809523687549,0.8
60,135.0,37.5,113.34936,7.5,1.6750322160000002e-05,42.290900596805,15564.809523687549,0.8
30,157.5,43.75,81.72277700000001,8.75,1.6750322160000002e-05,37.932258512435006,20065.69737049568,0.8
30,157.5,43.75,81.72277700000001,8.75,1.6750322160000002e-05,50.766841147715006,33950.99126239631,0.8
60,157.5,43.75,132.24093,8.75,1.6750322160000002e-05,49.088719354394996,16699.66302296726,0.8
60,157.5,43.75,132.24093,8.75,1.6750322160000002e-05,47.360740552475,24716.341269673198,0.8
30,180.0,50.0,93.39746,10.0,1.6750322160000002e-05,51.879055492810004,29952.294617183048,0.8
30,180.0,50.0,93.39746,10.0,1.6750322160000002e-05,61.590003376125004,50679.03068905805,0.8
60,180.0,50.0,151.13249,10.0,1.6750322160000002e-05,54.62917554023999,24927.77678978383,0.8
60,180.0,50.0,151.13249,10.0,1.6750322160000002e-05,67.66697353814999,36894.36345939719,0.8
